Yes,No,Response not clear(b),Non-responding,Division,District1,District,Count
NA,NA,NA,NA,New,South,New South Wales ,NA
37736,46343,247,20928,Banks,NA,Banks,105254
37153,47984,226,24008,Barton,NA,Barton,109371
42943,43215,244,19973,Bennelong,NA,Bennelong,106375
48471,40369,212,16038,Berowra,NA,Berowra,105090
20406,57926,220,25883,Blaxland,NA,Blaxland,104435
53681,34927,202,17261,Bradfield,NA,Bradfield,106071
54091,35779,285,25342,Calare,NA,Calare,115497
32871,46702,263,28180,Chifley,NA,Chifley,108016
47505,38804,229,18713,Cook,NA,Cook,105251
57493,38317,315,25197,Cowper,NA,Cowper,121322
60906,31840,268,20607,Cunningham,NA,Cunningham,113621
59475,30987,255,24275,Dobell,NA,Dobell,114992
57223,30926,249,22139,Eden-Monaro,NA,Eden-Monaro,110537
48432,39297,277,25669,Farrer,NA,Farrer,113675
27847,48782,228,29251,Fowler,NA,Fowler,106108
59322,36386,303,23109,Gilmore,NA,Gilmore,119120
73208,18429,136,16074,Grayndler,NA,Grayndler,107847
38016,43980,217,25253,Greenway,NA,Greenway,107466
51337,36558,185,17038,Hughes,NA,Hughes,105118
51284,36271,213,23457,Hume,NA,Hume,111225
59137,32723,251,25253,Hunter,NA,Hunter,117364
56297,31510,225,22399,Kingsford,Smith,Kingsford Smith,110431
49071,38295,234,26955,Lindsay,NA,Lindsay,114555
51416,41539,316,21426,Lyne,NA,Lyne,114697
43323,39907,228,27271,Macarthur,NA,Macarthur,110729
62350,29330,208,17500,Mackellar,NA,Mackellar,109388
56180,31778,235,18490,Macquarie,NA,Macquarie,106683
29146,53967,242,23721,McMahon,NA,McMahon,107076
42112,43652,176,19436,Mitchell,NA,Mitchell,105376
71158,23999,232,19970,Newcastle,NA,Newcastle,115359
44608,40324,256,25581,New,England,New England,110769
64813,25473,193,17538,North,Sydney,North Sydney,108017
55943,37727,291,25645,Page,NA,Page,119606
41408,37108,241,29777,Parkes,NA,Parkes,108534
29299,47038,197,25757,Parramatta,NA,Parramatta,102291
60915,32059,279,24264,Paterson,NA,Paterson,117517
43567,39061,203,23786,Reid,NA,Reid,106617
62591,29625,274,22719,Richmond,NA,Richmond,115209
47333,39308,265,25632,Riverina,NA,Riverina,112538
58689,30614,231,20431,Robertson,NA,Robertson,109965
62455,29836,255,19675,Shortland,NA,Shortland,112221
76144,14860,146,22093,Sydney,NA,Sydney,113243
64999,21660,172,16630,Warringah,NA,Warringah,103461
24915,57160,205,24634,Watson,NA,Watson,106914
69279,16410,162,18121,Wentworth,NA,Wentworth,103972
30252,53174,269,29282,Werriwa,NA,Werriwa,112977
57562,34879,276,23064,Whitlam,NA,Whitlam,115781
2374362,1736838,11036,1065445,New,South,New South Wales (Total),5187681
NA,NA,NA,NA,Victoria,NA,NA,NA
NA,NA,NA,NA,Victoria,Divisions,Victoria ,NA
48455,29730,234,17664,Aston,NA,Aston,96083
65613,27405,333,20923,Ballarat,NA,Ballarat,114274
66383,26906,287,17901,Batman,NA,Batman,111477
63412,28852,333,19360,Bendigo,NA,Bendigo,111957
34644,39203,257,21261,Bruce,NA,Bruce,95365
37839,49823,331,23588,Calwell,NA,Calwell,111581
59959,28144,316,16807,Casey,NA,Casey,105226
49448,30844,271,17188,Chisholm,NA,Chisholm,97751
69723,27708,326,17123,Corangamite,NA,Corangamite,114880
62658,29865,359,18255,Corio,NA,Corio,111137
55464,28973,276,15389,Deakin,NA,Deakin,100102
62840,24471,285,19322,Dunkley,NA,Dunkley,106918
68291,29275,336,21407,Flinders,NA,Flinders,119309
62045,29065,278,19771,Gellibrand,NA,Gellibrand,111159
51196,33910,338,20370,Gippsland,NA,Gippsland,105814
69726,21663,238,14857,Goldstein,NA,Goldstein,106484
49834,43587,347,27479,Gorton,NA,Gorton,121247
70059,19375,180,16615,Higgins,NA,Higgins,106229
47147,45875,289,28260,Holt,NA,Holt,121571
47986,32524,303,19732,Hotham,NA,Hotham,100545
54563,31925,324,18934,Indi,NA,Indi,105746
56645,30063,275,20692,Isaacs,NA,Isaacs,107675
65098,23453,255,15363,Jagajaga,NA,Jagajaga,104169
63592,22729,231,14147,Kooyong,NA,Kooyong,100699
57062,43429,345,30127,Lalor,NA,Lalor,130963
61807,29826,268,19002,La,Trobe,La Trobe,110903
42495,35795,359,21207,Mallee,NA,Mallee,99856
53208,35658,360,23762,Maribyrnong,NA,Maribyrnong,112988
73705,39007,377,26966,McEwen,NA,McEwen,140055
61479,36500,372,22403,McMillan,NA,McMillan,120754
81287,15839,182,20154,Melbourne,NA,Melbourne,117462
70589,15523,198,18745,Melbourne,Ports,Melbourne Ports,105055
47137,35626,258,15745,Menzies,NA,Menzies,98766
48205,35452,357,21560,Murray,NA,Murray,105574
48245,42147,357,22817,Scullin,NA,Scullin,113566
49340,31529,343,18569,Wannon,NA,Wannon,99781
68450,29399,250,20169,Wills,NA,Wills,118268
2145629,1161098,11028,743634,Victoria,(Total),Victoria (Total),4061389
NA,NA,NA,NA,Queensland,NA,NA,NA
NA,NA,NA,NA,Queensland,Divisions,Queensland ,NA
