Yes,No,Response not clear(b),Non-responding,Division,District,Count
37736,46343,247,20928,Banks,New South Wales ,105254
37153,47984,226,24008,Barton,New South Wales ,109371
42943,43215,244,19973,Bennelong,New South Wales ,106375
48471,40369,212,16038,Berowra,New South Wales ,105090
20406,57926,220,25883,Blaxland,New South Wales ,104435
53681,34927,202,17261,Bradfield,New South Wales ,106071
54091,35779,285,25342,Calare,New South Wales ,115497
32871,46702,263,28180,Chifley,New South Wales ,108016
47505,38804,229,18713,Cook,New South Wales ,105251
57493,38317,315,25197,Cowper,New South Wales ,121322
60906,31840,268,20607,Cunningham,New South Wales ,113621
59475,30987,255,24275,Dobell,New South Wales ,114992
57223,30926,249,22139,Eden-Monaro,New South Wales ,110537
48432,39297,277,25669,Farrer,New South Wales ,113675
27847,48782,228,29251,Fowler,New South Wales ,106108
59322,36386,303,23109,Gilmore,New South Wales ,119120
73208,18429,136,16074,Grayndler,New South Wales ,107847
38016,43980,217,25253,Greenway,New South Wales ,107466
51337,36558,185,17038,Hughes,New South Wales ,105118
51284,36271,213,23457,Hume,New South Wales ,111225
59137,32723,251,25253,Hunter,New South Wales ,117364
56297,31510,225,22399,Kingsford Smith,New South Wales ,110431
49071,38295,234,26955,Lindsay,New South Wales ,114555
51416,41539,316,21426,Lyne,New South Wales ,114697
43323,39907,228,27271,Macarthur,New South Wales ,110729
62350,29330,208,17500,Mackellar,New South Wales ,109388
56180,31778,235,18490,Macquarie,New South Wales ,106683
29146,53967,242,23721,McMahon,New South Wales ,107076
42112,43652,176,19436,Mitchell,New South Wales ,105376
71158,23999,232,19970,Newcastle,New South Wales ,115359
44608,40324,256,25581,New England,New South Wales ,110769
64813,25473,193,17538,North Sydney,New South Wales ,108017
55943,37727,291,25645,Page,New South Wales ,119606
41408,37108,241,29777,Parkes,New South Wales ,108534
29299,47038,197,25757,Parramatta,New South Wales ,102291
60915,32059,279,24264,Paterson,New South Wales ,117517
43567,39061,203,23786,Reid,New South Wales ,106617
62591,29625,274,22719,Richmond,New South Wales ,115209
47333,39308,265,25632,Riverina,New South Wales ,112538
58689,30614,231,20431,Robertson,New South Wales ,109965
62455,29836,255,19675,Shortland,New South Wales ,112221
76144,14860,146,22093,Sydney,New South Wales ,113243
64999,21660,172,16630,Warringah,New South Wales ,103461
24915,57160,205,24634,Watson,New South Wales ,106914
69279,16410,162,18121,Wentworth,New South Wales ,103972
30252,53174,269,29282,Werriwa,New South Wales ,112977
57562,34879,276,23064,Whitlam,New South Wales ,115781
48455,29730,234,17664,Aston,Victoria ,96083
