Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2023-01-08T00:00:00Z,2023-01-14,132,47,179,7075,1645,8720,2023-10-19T00:00:00Z
2023-2024,2021-10-17T00:00:00Z,2021-10-23,79,4,83,8163,699,8862,2023-10-19T00:00:00Z
2023-2024,2020-11-22T00:00:00Z,2020-11-28,153,15,168,18179,1009,19188,2023-10-19T00:00:00Z
2023-2024,2021-10-03T00:00:00Z,2021-10-09,85,2,87,9316,748,10064,2023-10-19T00:00:00Z
2023-2024,2020-04-05T00:00:00Z,2020-04-11,654,23,677,12145,30,12175,2023-10-19T00:00:00Z
2023-2024,2021-04-25T00:00:00Z,2021-05-01,74,2,76,7105,924,8029,2023-10-19T00:00:00Z
2023-2024,2022-01-23T00:00:00Z,2022-01-29,417,47,464,38985,4823,43808,2023-10-19T00:00:00Z
2023-2024,2021-04-18T00:00:00Z,2021-04-24,67,1,68,8465,1117,9582,2023-10-19T00:00:00Z
2023-2024,2023-03-19T00:00:00Z,2023-03-25,53,9,62,1939,543,2482,2023-10-19T00:00:00Z
2023-2024,2022-05-08T00:00:00Z,2022-05-14,66,15,81,27609,4166,31775,2023-10-19T00:00:00Z
2023-2024,2021-01-17T00:00:00Z,2021-01-23,395,29,424,26704,2140,28844,2023-10-19T00:00:00Z
2023-2024,2023-07-30T00:00:00Z,2023-08-05,2,0,2,1234,506,1740,2023-10-19T00:00:00Z
2023-2024,2021-06-20T00:00:00Z,2021-06-26,12,0,12,461,66,527,2023-10-19T00:00:00Z
2023-2024,2022-08-28T00:00:00Z,2022-09-03,69,10,79,7205,1022,8227,2023-10-19T00:00:00Z
2023-2024,2021-04-04T00:00:00Z,2021-04-10,70,3,73,13050,1425,14475,2023-10-19T00:00:00Z
2023-2024,2023-07-16T00:00:00Z,2023-07-22,9,0,9,864,281,1145,2023-10-19T00:00:00Z
2023-2024,2023-02-05T00:00:00Z,2023-02-11,105,26,131,4411,1103,5514,2023-10-19T00:00:00Z
2023-2024,2022-10-09T00:00:00Z,2022-10-15,85,15,100,7390,1247,8637,2023-10-19T00:00:00Z
2023-2024,2023-08-27T00:00:00Z,2023-09-02,20,1,21,2406,987,3393,2023-10-19T00:00:00Z
2023-2024,2023-03-26T00:00:00Z,2023-04-01,33,7,40,1783,443,2226,2023-10-19T00:00:00Z
2023-2024,2020-04-26T00:00:00Z,2020-05-02,1081,48,1129,12397,48,12445,2023-10-19T00:00:00Z
2023-2024,2022-03-06T00:00:00Z,2022-03-12,53,8,61,4252,456,4708,2023-10-19T00:00:00Z
2023-2024,2022-07-10T00:00:00Z,2022-07-16,51,11,62,10137,1318,11455,2023-10-19T00:00:00Z
2023-2024,2022-03-27T00:00:00Z,2022-04-02,37,3,40,8240,831,9071,2023-10-19T00:00:00Z
2023-2024,2023-02-12T00:00:00Z,2023-02-18,88,19,107,4056,1059,5115,2023-10-19T00:00:00Z
2023-2024,2022-06-19T00:00:00Z,2022-06-25,58,7,65,9442,1007,10449,2023-10-19T00:00:00Z
2023-2024,2020-06-07T00:00:00Z,2020-06-13,194,5,199,1665,59,1724,2023-10-19T00:00:00Z
2023-2024,2021-11-21T00:00:00Z,2021-11-27,95,8,103,16376,1480,17856,2023-10-19T00:00:00Z
2023-2024,2021-07-18T00:00:00Z,2021-07-24,29,0,29,3353,376,3729,2023-10-19T00:00:00Z
2023-2024,2020-05-10T00:00:00Z,2020-05-16,783,38,821,7490,40,7530,2023-10-19T00:00:00Z
2023-2024,2023-05-28T00:00:00Z,2023-06-03,8,1,9,793,253,1046,2023-10-19T00:00:00Z
2023-2024,2023-02-26T00:00:00Z,2023-03-04,62,20,82,2615,631,3246,2023-10-19T00:00:00Z
2023-2024,2023-08-20T00:00:00Z,2023-08-26,15,4,19,2106,906,3012,2023-10-19T00:00:00Z
2023-2024,2020-03-29T00:00:00Z,2020-04-04,234,9,243,8284,11,8295,2023-10-19T00:00:00Z
2023-2024,2020-07-19T00:00:00Z,2020-07-25,37,1,38,1529,178,1707,2023-10-19T00:00:00Z
2023-2024,2021-10-24T00:00:00Z,2021-10-30,69,5,74,7951,699,8650,2023-10-19T00:00:00Z
2023-2024,2020-08-30T00:00:00Z,2020-09-05,19,3,22,2358,91,2449,2023-10-19T00:00:00Z
2023-2024,2022-10-02T00:00:00Z,2022-10-08,79,21,100,8117,1338,9455,2023-10-19T00:00:00Z
